doc_type,filename,n_pages,n_chars,chars_per_page,is_scanned,title_by_font,title_by_keyword,n_articles,n_circled,n_numbered,n_tables,structure,compliance_no,compliance_date,error
terms,hana_terms_loan_daechulgeoraeyakjeongseo(hangukjutaekgeumyunggongsa_chaegwonyudonghwamokjeok_bogeumjarironyong)_20260511.pdf,3,11144,3714,False,대출거래약정서,대출거래약정서 담 당 책 임 자 관 리 자 부 점 장,50,15,29,18,article,,,
terms,hana_terms_loan_daechulgeoraeyakjeongseo(hangukjutaekgeumyunggongsa_chaegwonyudonghwamokjeok_bogeumjarironyong-yeongyehyeong)_20230602.pdf,3,10240,3413,False,수 입대 출 거 래 약 정 서,※ 은행은 본인에게 이 대출거래약정서(이하“약정서”)상의 중요한 내용을 설명하여야,49,20,27,17,article,,,
terms,hana_terms_loan_daechulgeoraeyakjeongseo(hangukjutaekgeumyunggongsa_chaegwonyudonghwamokjeok_bogeumjarironyong–deonaeun_bogeumjariron)_20180531.pdf,2,7395,3697,False,대출거래약정서,대출거래약정서,30,9,14,13,article,,,
terms,hana_terms_loan_daechulgeoraeyakjeongseo(jutaekdambonohuyeongeumdaechuryong)_20241230.pdf,5,8877,1775,False,대출거래약정서,대출거래약정서 (주택담보노후연금대출용),41,29,42,8,article,2024-약관-144,2024-12-17,
terms,hana_terms_loan_daechulgeoraeyakjeongseo(jutaekdosigigeumdaechul)_20260622.pdf,4,12089,3022,False,대출거래약정서,대출거래약정서,32,38,20,12,article,2026-약관-061,2026-06-15,
terms,hana_terms_loan_eunhaengyeosingeoraegibonyakgwan(gagyeyong)_20241017.pdf,6,12283,2047,False,(cid:11)(cid:1096)(cid:1167)(cid:2580)(cid:12),,47,56,28,0,article,2024-약관-118,,
terms,hana_terms_loan_eunhaengyeosingeoraegibonyakgwan(gieobyong)_20241017.pdf,6,15567,2594,False,3-06-1030(6-1) (2024.10 개정),,64,77,42,0,article,2024-약관-117,,
terms,hana_terms_loan_jutaekdosigigeum_naejipmaryeon_didimdol_daechulgeoraeyakjeongseo_20260622.pdf,3,10468,3489,False,주택도시기금 내집마련 디딤돌 대출거래약정서,주택도시기금 내집마련 디딤돌 대출거래약정서,46,24,16,17,article,2026-약관-060,2026-06-15,
terms,hana_terms_loan_yeosingeoraechugayakjeongseo(geumaekbyeongyeong_gihanyeonjang_geumribyeongyeong_jogeonbyeongyeongyong)_20230228.pdf,3,4187,1395,False,여신거래추가약정서,여신거래추가약정서,15,14,5,7,article,,,
terms,hana_terms_loan_yeosingeoraechugayakjeongseo(handoyakjeongsusuryo_yakjeongyong)_20210325.pdf,6,8918,1486,False,여신거래약정서,여신거래약정서(단기금융용),25,31,38,8,article,2021-약관-174,2021-03-23,
terms,hana_terms_loan_yeosingeoraechugayakjeongseo(sosanggongin_jeogeumridaehwandaechuryong)_20240318.pdf,1,1605,1605,False,여신거래 추가약정서,여신거래 추가약정서,5,0,8,3,article,2024-약관-016,2024-02-22,
terms,hana_terms_loan_yeosingeoraeyakjeongseo(dangigeumyungyong)_20210325.pdf,6,8918,1486,False,여신거래약정서,여신거래약정서(단기금융용),25,31,38,8,article,2021-약관-174,2021-03-23,
terms,hana_terms_loan_yeosingeoraeyakjeongseo(gieobyong)_20260630.pdf,4,11471,2867,False,여신거래약정서(기업용),여신거래약정서(기업용),43,50,40,7,article,2026-약관-058,,
